單字/片語,詞性,解釋,同義詞
repersent,v,象徵，意味,stand for
crown,n,王冠,
palace,n,宮殿，王宮,
rule,v,統治，管理,govern
emperor,n,皇帝,
empire,n,帝國,
translate,v,翻譯,
translation,n,翻譯,
separate,v,使分離，分開,divide
separate,adj,獨自的，各別的,
separation,n,分離，分開,
tragically,adv,不幸地，悲慘地,sadly;unfortunately
tragic,adj,不幸的，悲慘的,
tragedy,n,慘事，不幸(事件),
overcome,v,(情緒)壓倒，打敗,
grief,n,悲傷，悲痛,pain;sorrow
grieve,v,悲傷，悲痛,
swear,v,發誓，立誓,
construction,n,建造，建築,building
construct,v,建造，建築,build
magnificent,,宏偉的，壯麗的,glorious
gather,v,集合，聚集,collect;assemble
gathering,n,集會，聚會,
demand,v,要求,ask
demand,n,要求，請求,
perfection,n,完美，極致,excellence
perfect,adj,完美的，理想的,
monument,n,紀念碑,
lasting,adj,永恆的，持久的,
last,v,持續，延續,
majesty,n,雄偉，壯麗,
beloved,adj,深愛的，心愛的,dear
